WELL,DEPTH,GR,RHOB,NPHI,PEF,DT,DTS,RT
15/9-F-11 A,2582.9,55.186,2.326,0.352,6.829,107.067,261.036,0.781
15/9-F-11 A,2583.0,57.015,2.325,0.364,6.81,107.81,260.161,0.772
15/9-F-11 A,2583.1,58.923,2.321,0.37,6.776,108.231,261.067,0.705
15/9-F-11 A,2583.2,57.322,2.312,0.367,6.722,108.428,262.51,0.654
15/9-F-11 A,2583.3,53.054,2.298,0.35,6.638,108.222,263.36,0.611
15/9-F-11 A,2583.4,48.613,2.282,0.329,6.523,107.547,263.605,0.553
15/9-F-11 A,2583.5,43.197,2.265,0.309,6.372,106.76,264.096,0.506
15/9-F-11 A,2583.6,39.274,2.248,0.295,6.172,106.63,267.616,0.496
15/9-F-11 A,2583.7,38.028,2.234,0.293,5.949,106.25,267.881,0.473
15/9-F-11 A,2583.8,35.791,2.221,0.302,5.783,105.704,265.983,0.449
15/9-F-11 A,2583.9,36.269,2.214,0.324,5.792,105.006,262.116,0.417
15/9-F-11 A,2584.0,43.543,2.217,0.355,6.035,103.904,259.491,0.453
15/9-F-11 A,2584.1,55.699,2.234,0.384,6.423,102.672,257.825,0.509
15/9-F-11 A,2584.2,59.047,2.26,0.4,6.78,104.329,257.128,0.569
15/9-F-11 A,2584.3,61.346,2.286,0.395,6.997,105.652,257.76,0.607
15/9-F-11 A,2584.4,63.256,2.305,0.379,7.063,106.671,259.554,0.633
15/9-F-11 A,2584.5,63.707,2.318,0.368,7.027,107.012,260.158,0.698
15/9-F-11 A,2584.6,62.128,2.327,0.36,6.945,106.852,261.271,0.738
15/9-F-11 A,2584.7,60.383,2.335,0.361,6.86,106.158,262.934,0.749
15/9-F-11 A,2584.8,62.979,2.343,0.373,6.824,105.596,263.096,0.753
15/9-F-11 A,2584.9,65.577,2.35,0.386,6.788,105.428,263.179,0.727
15/9-F-11 A,2585.0,69.123,2.354,0.397,6.831,105.765,263.242,0.696
15/9-F-11 A,2585.1,68.21,2.354,0.4,6.92,104.529,264.004,0.687
15/9-F-11 A,2585.2,65.934,2.351,0.397,7.033,103.05,263.931,0.7
15/9-F-11 A,2585.3,64.636,2.344,0.389,7.14,101.428,262.428,0.739
15/9-F-11 A,2585.4,63.081,2.336,0.378,7.222,97.223,262.414,0.719
15/9-F-11 A,2585.5,60.644,2.33,0.361,7.274,93.126,262.162,0.731
15/9-F-11 A,2585.6,58.007,2.327,0.339,7.275,90.051,260.983,0.745
15/9-F-11 A,2585.7,55.281,2.327,0.316,7.184,88.222,261.879,0.739
15/9-F-11 A,2585.8,53.072,2.328,0.3,6.981,87.477,262.677,0.717
15/9-F-11 A,2585.9,55.552,2.326,0.298,6.728,88.688,262.089,0.751
15/9-F-11 A,2586.0,64.268,2.31,0.399,6.803,90.091,260.993,0.77
15/9-F-11 A,2586.1,68.936,2.3,0.412,6.873,91.469,260.006,0.722
15/9-F-11 A,2586.2,71.869,2.297,0.417,6.94,92.587,259.843,0.733
15/9-F-11 A,2586.3,71.7,2.298,0.41,6.915,92.886,260.37,0.737
15/9-F-11 A,2586.4,70.601,2.299,0.396,6.78,92.891,260.759,0.752
15/9-F-11 A,2586.5,65.588,2.294,0.38,6.576,93.007,259.465,0.75
15/9-F-11 A,2586.6,60.813,2.284,0.365,6.368,91.956,260.503,0.721
15/9-F-11 A,2586.7,55.451,2.271,0.354,6.217,90.286,262.495,0.655
15/9-F-11 A,2586.8,51.953,2.26,0.346,6.142,88.357,263.382,0.587
15/9-F-11 A,2586.9,48.914,2.251,0.341,6.114,85.517,264.097,0.588
15/9-F-11 A,2587.0,48.621,2.246,0.34,6.107,82.376,264.577,0.546
15/9-F-11 A,2587.1,48.327,2.242,0.34,6.1,81.541,263.879,0.522
15/9-F-11 A,2587.2,47.036,2.232,0.347,6.11,80.434,262.874,0.534
15/9-F-11 A,2587.3,46.346,2.223,0.368,6.209,79.169,261.719,0.516
15/9-F-11 A,2587.4,49.039,2.218,0.397,6.44,78.784,261.971,0.474
15/9-F-11 A,2587.5,55.184,2.218,0.424,6.759,78.93,261.377,0.441
15/9-F-11 A,2587.6,59.479,2.22,0.428,7.004,79.553,260.026,0.436
15/9-F-11 A,2587.7,57.517,2.219,0.402,6.993,80.765,259.109,0.452
15/9-F-11 A,2587.8,49.642,2.214,0.362,6.671,81.784,258.184,0.443
15/9-F-11 A,2587.9,40.443,2.205,0.317,6.167,82.595,257.251,0.419
15/9-F-11 A,2588.0,33.009,2.195,0.279,5.676,84.142,257.153,0.398
15/9-F-11 A,2588.1,27.772,2.185,0.258,5.322,85.2,256.482,0.396
15/9-F-11 A,2588.2,26.554,2.18,0.249,5.127,85.562,255.004,0.409
15/9-F-11 A,2588.3,25.661,2.183,0.246,5.037,85.596,253.865,0.429
15/9-F-11 A,2588.4,25.427,2.193,0.243,5.0,85.021,250.012,0.448
15/9-F-11 A,2588.5,25.686,2.209,0.236,4.977,83.764,249.965,0.45
15/9-F-11 A,2588.6,24.855,2.224,0.226,4.953,82.533,250.192,0.455
15/9-F-11 A,2588.7,25.02,2.236,0.218,4.939,81.413,250.151,0.454
15/9-F-11 A,2588.8,25.629,2.245,0.213,4.948,80.262,249.491,0.457
15/9-F-11 A,2588.9,26.665,2.253,0.211,4.973,79.44,248.377,0.462
15/9-F-11 A,2589.0,26.043,2.259,0.213,4.989,79.686,246.43,0.472
15/9-F-11 A,2589.1,26.184,2.263,0.213,4.982,80.948,243.098,0.497
15/9-F-11 A,2589.2,26.654,2.264,0.21,4.967,82.573,239.69,0.55
15/9-F-11 A,2589.3,26.756,2.263,0.21,4.968,83.305,238.992,0.584
